Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
93.000	40.000	744.03	0.0013440	-92.741	-87.365	3.1830	1.0146	2.0878	731.62	-0.024499	100.74	0.11918	liquid
93.325	40.000	742.42	0.0013470	-92.074	-86.686	3.1903	1.0132	2.0908	728.33	-0.024130	99.763	0.11857	liquid
93.650	40.000	740.80	0.0013499	-91.406	-86.006	3.1975	1.0119	2.0938	725.04	-0.023755	98.798	0.11795	liquid
93.975	40.000	739.17	0.0013529	-90.736	-85.325	3.2048	1.0105	2.0969	721.75	-0.023372	97.847	0.11734	liquid
94.300	40.000	737.54	0.0013559	-90.066	-84.643	3.2121	1.0092	2.1001	718.44	-0.022982	96.907	0.11673	liquid
94.625	40.000	735.90	0.0013589	-89.395	-83.960	3.2193	1.0078	2.1034	715.13	-0.022585	95.980	0.11612	liquid
94.950	40.000	734.25	0.0013619	-88.723	-83.276	3.2265	1.0065	2.1067	711.81	-0.022180	95.065	0.11551	liquid
95.275	40.000	732.59	0.0013650	-88.051	-82.591	3.2337	1.0052	2.1101	708.47	-0.021767	94.161	0.11490	liquid
95.600	40.000	730.93	0.0013681	-87.377	-81.904	3.2409	1.0039	2.1136	705.14	-0.021346	93.268	0.11429	liquid
95.925	40.000	729.26	0.0013712	-86.702	-81.217	3.2481	1.0026	2.1172	701.79	-0.020917	92.387	0.11368	liquid
96.250	40.000	727.59	0.0013744	-86.026	-80.528	3.2552	1.0013	2.1208	698.43	-0.020479	91.516	0.11307	liquid
96.575	40.000	725.90	0.0013776	-85.349	-79.838	3.2624	1.0001	2.1245	695.06	-0.020033	90.656	0.11247	liquid
96.900	40.000	724.21	0.0013808	-84.670	-79.147	3.2695	0.99881	2.1284	691.69	-0.019579	89.806	0.11186	liquid
97.225	40.000	722.51	0.0013841	-83.991	-78.455	3.2767	0.99756	2.1323	688.30	-0.019115	88.966	0.11126	liquid
97.550	40.000	720.80	0.0013873	-83.310	-77.761	3.2838	0.99633	2.1363	684.90	-0.018642	88.137	0.11065	liquid
97.875	40.000	719.09	0.0013907	-82.629	-77.066	3.2909	0.99511	2.1404	681.50	-0.018159	87.316	0.11005	liquid
98.200	40.000	717.36	0.0013940	-81.946	-76.370	3.2980	0.99390	2.1446	678.08	-0.017667	86.505	0.10945	liquid
98.525	40.000	715.63	0.0013974	-81.262	-75.672	3.3051	0.99270	2.1489	674.65	-0.017165	85.704	0.10884	liquid
98.850	40.000	713.89	0.0014008	-80.576	-74.973	3.3122	0.99152	2.1533	671.22	-0.016652	84.911	0.10824	liquid
99.175	40.000	712.13	0.0014042	-79.889	-74.272	3.3193	0.99034	2.1578	667.77	-0.016129	84.127	0.10764	liquid
99.500	40.000	710.38	0.0014077	-79.201	-73.570	3.3263	0.98918	2.1624	664.31	-0.015595	83.352	0.10704	liquid
99.825	40.000	708.61	0.0014112	-78.512	-72.867	3.3334	0.98804	2.1671	660.84	-0.015050	82.585	0.10644	liquid
100.15	40.000	706.83	0.0014148	-77.821	-72.162	3.3404	0.98690	2.1720	657.35	-0.014494	81.826	0.10585	liquid
100.48	40.000	705.04	0.0014184	-77.128	-71.455	3.3475	0.98578	2.1770	653.86	-0.013926	81.075	0.10525	liquid
100.80	40.000	703.24	0.0014220	-76.435	-70.747	3.3545	0.98467	2.1820	650.35	-0.013345	80.332	0.10465	liquid
101.13	40.000	701.43	0.0014257	-75.739	-70.037	3.3616	0.98357	2.1873	646.83	-0.012753	79.596	0.10406	liquid
101.45	40.000	699.61	0.0014294	-75.042	-69.325	3.3686	0.98249	2.1926	643.30	-0.012148	78.868	0.10346	liquid
101.78	40.000	697.79	0.0014331	-74.344	-68.611	3.3756	0.98142	2.1981	639.76	-0.011529	78.147	0.10286	liquid
102.10	40.000	695.95	0.0014369	-73.644	-67.896	3.3826	0.98036	2.2037	636.20	-0.010897	77.433	0.10227	liquid
102.43	40.000	694.10	0.0014407	-72.942	-67.179	3.3896	0.97932	2.2095	632.63	-0.010251	76.726	0.10167	liquid
102.75	40.000	692.23	0.0014446	-72.238	-66.460	3.3966	0.97829	2.2154	629.04	-0.0095912	76.026	0.10108	liquid
103.08	40.000	690.36	0.0014485	-71.533	-65.739	3.4037	0.97727	2.2214	625.44	-0.0089164	75.332	0.10049	liquid
103.40	40.000	688.48	0.0014525	-70.826	-65.016	3.4107	0.97627	2.2277	621.83	-0.0082264	74.645	0.099895	liquid
103.73	40.000	686.58	0.0014565	-70.117	-64.291	3.4177	0.97528	2.2340	618.20	-0.0075207	73.964	0.099302	liquid
104.05	40.000	684.67	0.0014606	-69.406	-63.564	3.4247	0.97431	2.2406	614.55	-0.0067990	73.289	0.098710	liquid
104.38	40.000	682.75	0.0014647	-68.693	-62.835	3.4317	0.97335	2.2473	610.90	-0.0060606	72.620	0.098118	liquid
104.70	40.000	680.81	0.0014688	-67.978	-62.103	3.4387	0.97241	2.2542	607.22	-0.0053051	71.957	0.097527	liquid
105.03	40.000	678.86	0.0014730	-67.262	-61.369	3.4456	0.97148	2.2613	603.53	-0.0045320	71.299	0.096936	liquid
105.35	40.000	676.90	0.0014773	-66.543	-60.633	3.4526	0.97057	2.2686	599.82	-0.0037406	70.647	0.096346	liquid
105.68	40.000	674.93	0.0014816	-65.821	-59.895	3.4596	0.96968	2.2761	596.10	-0.0029303	70.000	0.095755	liquid
106.00	40.000	672.94	0.0014860	-65.098	-59.154	3.4666	0.96880	2.2838	592.36	-0.0021006	69.358	0.095165	liquid
106.33	40.000	670.93	0.0014905	-64.372	-58.410	3.4737	0.96794	2.2917	588.60	-0.0012507	68.722	0.094575	liquid
106.65	40.000	668.92	0.0014950	-63.644	-57.664	3.4807	0.96709	2.2999	584.82	-0.00038007	68.090	0.093986	liquid
106.98	40.000	666.88	0.0014995	-62.913	-56.915	3.4877	0.96626	2.3082	581.03	0.00051208	67.463	0.093396	liquid
107.30	40.000	664.83	0.0015041	-62.180	-56.164	3.4947	0.96546	2.3169	577.21	0.0014265	66.840	0.092807	liquid
107.63	40.000	662.77	0.0015088	-61.445	-55.409	3.5017	0.96466	2.3257	573.38	0.0023639	66.222	0.092218	liquid
107.95	40.000	660.68	0.0015136	-60.706	-54.652	3.5087	0.96389	2.3349	569.53	0.0033252	65.608	0.091629	liquid
108.28	40.000	658.58	0.0015184	-59.965	-53.892	3.5158	0.96314	2.3443	565.66	0.0043112	64.999	0.091040	liquid
108.60	40.000	656.47	0.0015233	-59.221	-53.128	3.5228	0.96241	2.3539	561.76	0.0053228	64.393	0.090451	liquid
108.93	40.000	654.33	0.0015283	-58.475	-52.362	3.5299	0.96169	2.3639	557.85	0.0063610	63.791	0.089862	liquid
109.25	40.000	652.18	0.0015333	-57.725	-51.592	3.5369	0.96100	2.3742	553.91	0.0074267	63.193	0.089272	liquid
109.58	40.000	650.00	0.0015385	-56.972	-50.818	3.5440	0.96033	2.3848	549.95	0.0085210	62.599	0.088683	liquid
109.90	40.000	647.81	0.0015437	-56.216	-50.041	3.5511	0.95968	2.3958	545.97	0.0096450	62.008	0.088094	liquid
110.23	40.000	645.60	0.0015489	-55.457	-49.261	3.5581	0.95906	2.4071	541.97	0.010800	61.421	0.087504	liquid
110.55	40.000	643.37	0.0015543	-54.694	-48.477	3.5653	0.95846	2.4188	537.94	0.011987	60.837	0.086915	liquid
110.88	40.000	641.11	0.0015598	-53.928	-47.689	3.5724	0.95788	2.4308	533.88	0.013207	60.256	0.086325	liquid
111.20	40.000	638.83	0.0015654	-53.158	-46.897	3.5795	0.95733	2.4433	529.80	0.014462	59.677	0.085734	liquid
111.53	40.000	636.53	0.0015710	-52.385	-46.101	3.5867	0.95680	2.4562	525.70	0.015754	59.102	0.085144	liquid
111.85	40.000	634.21	0.0015768	-51.607	-45.300	3.5938	0.95630	2.4695	521.56	0.017083	58.529	0.084553	liquid
112.18	40.000	631.86	0.0015826	-50.826	-44.495	3.6010	0.95583	2.4833	517.40	0.018451	57.959	0.083961	liquid
112.50	40.000	629.49	0.0015886	-50.040	-43.686	3.6082	0.95539	2.4976	513.22	0.019861	57.391	0.083369	liquid
112.83	40.000	627.09	0.0015947	-49.251	-42.872	3.6154	0.95497	2.5124	509.00	0.021313	56.826	0.082776	liquid
113.15	40.000	624.66	0.0016009	-48.456	-42.053	3.6227	0.95459	2.5277	504.75	0.022810	56.262	0.082183	liquid
113.48	40.000	622.21	0.0016072	-47.657	-41.229	3.6300	0.95425	2.5437	500.47	0.024354	55.701	0.081589	liquid
113.80	40.000	619.72	0.0016136	-46.854	-40.399	3.6373	0.95393	2.5602	496.16	0.025948	55.141	0.080994	liquid
114.13	40.000	617.21	0.0016202	-46.045	-39.565	3.6446	0.95365	2.5774	491.82	0.027592	54.583	0.080399	liquid
114.45	40.000	614.66	0.0016269	-45.232	-38.724	3.6519	0.95341	2.5953	487.44	0.029291	54.027	0.079802	liquid
114.78	40.000	612.09	0.0016338	-44.413	-37.878	3.6593	0.95321	2.6138	483.03	0.031046	53.471	0.079205	liquid
115.10	40.000	609.48	0.0016408	-43.588	-37.025	3.6667	0.95304	2.6332	478.58	0.032861	52.917	0.078606	liquid
115.43	40.000	606.83	0.0016479	-42.758	-36.166	3.6742	0.95292	2.6534	474.09	0.034739	52.364	0.078007	liquid
115.75	40.000	604.15	0.0016552	-41.921	-35.300	3.6817	0.95284	2.6744	469.56	0.036682	51.812	0.077406	liquid
116.08	40.000	601.43	0.0016627	-41.078	-34.427	3.6892	0.95281	2.6964	465.00	0.038695	51.261	0.076803	liquid
116.40	40.000	598.66	0.0016704	-40.229	-33.547	3.6968	0.95282	2.7193	460.39	0.040781	50.709	0.076200	liquid
116.73	40.000	595.86	0.0016782	-39.373	-32.660	3.7044	0.95289	2.7433	455.74	0.042945	50.159	0.075595	liquid
117.05	40.000	593.02	0.0016863	-38.509	-31.764	3.7121	0.95301	2.7685	451.05	0.045191	49.608	0.074988	liquid
