Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
70.000	40.000	846.43	0.0011814	-138.63	-133.90	2.6088	1.1399	1.9872	952.71	-0.039385	233.07	0.16560	liquid
70.717	40.000	843.50	0.0011855	-137.22	-132.48	2.6290	1.1352	1.9883	945.93	-0.039136	225.69	0.16405	liquid
71.433	40.000	840.55	0.0011897	-135.81	-131.05	2.6491	1.1305	1.9894	939.15	-0.038878	218.66	0.16251	liquid
72.150	40.000	837.60	0.0011939	-134.40	-129.63	2.6689	1.1259	1.9907	932.39	-0.038611	211.94	0.16098	liquid
72.867	40.000	834.63	0.0011981	-132.99	-128.20	2.6886	1.1214	1.9920	925.62	-0.038334	205.52	0.15945	liquid
73.583	40.000	831.64	0.0012024	-131.58	-126.77	2.7081	1.1169	1.9934	918.86	-0.038047	199.38	0.15793	liquid
74.300	40.000	828.65	0.0012068	-130.17	-125.34	2.7274	1.1124	1.9949	912.10	-0.037750	193.52	0.15642	liquid
75.017	40.000	825.63	0.0012112	-128.76	-123.91	2.7466	1.1080	1.9965	905.35	-0.037442	187.91	0.15491	liquid
75.733	40.000	822.61	0.0012156	-127.35	-122.48	2.7656	1.1036	1.9983	898.58	-0.037123	182.54	0.15341	liquid
76.450	40.000	819.56	0.0012202	-125.93	-121.05	2.7844	1.0993	2.0001	891.82	-0.036792	177.40	0.15192	liquid
77.167	40.000	816.51	0.0012247	-124.51	-119.62	2.8031	1.0951	2.0020	885.05	-0.036450	172.47	0.15043	liquid
77.883	40.000	813.43	0.0012294	-123.10	-118.18	2.8216	1.0909	2.0041	878.28	-0.036094	167.75	0.14895	liquid
78.600	40.000	810.35	0.0012340	-121.68	-116.74	2.8400	1.0867	2.0063	871.49	-0.035726	163.22	0.14747	liquid
79.317	40.000	807.24	0.0012388	-120.26	-115.30	2.8582	1.0826	2.0086	864.70	-0.035344	158.87	0.14600	liquid
80.033	40.000	804.12	0.0012436	-118.84	-113.86	2.8763	1.0786	2.0111	857.90	-0.034948	154.70	0.14454	liquid
80.750	40.000	800.98	0.0012485	-117.42	-112.42	2.8942	1.0746	2.0137	851.09	-0.034537	150.69	0.14308	liquid
81.467	40.000	797.82	0.0012534	-115.99	-110.98	2.9120	1.0707	2.0165	844.27	-0.034111	146.84	0.14163	liquid
82.183	40.000	794.64	0.0012584	-114.57	-109.53	2.9297	1.0668	2.0194	837.43	-0.033670	143.13	0.14018	liquid
82.900	40.000	791.45	0.0012635	-113.14	-108.08	2.9472	1.0630	2.0225	830.57	-0.033211	139.57	0.13874	liquid
83.617	40.000	788.23	0.0012687	-111.71	-106.63	2.9647	1.0592	2.0257	823.70	-0.032735	136.13	0.13734	liquid
84.333	40.000	785.00	0.0012739	-110.28	-105.18	2.9820	1.0555	2.0291	816.82	-0.032242	132.82	0.13593	liquid
85.050	40.000	781.74	0.0012792	-108.84	-103.72	2.9991	1.0518	2.0327	809.91	-0.031729	129.64	0.13452	liquid
85.767	40.000	778.47	0.0012846	-107.40	-102.27	3.0162	1.0482	2.0365	802.98	-0.031197	126.56	0.13311	liquid
86.483	40.000	775.17	0.0012900	-105.97	-100.80	3.0332	1.0446	2.0405	796.03	-0.030644	123.60	0.13171	liquid
87.200	40.000	771.85	0.0012956	-104.52	-99.341	3.0500	1.0411	2.0447	789.06	-0.030070	120.73	0.13031	liquid
87.917	40.000	768.50	0.0013012	-103.08	-97.874	3.0668	1.0376	2.0492	782.06	-0.029473	117.96	0.12892	liquid
88.633	40.000	765.13	0.0013070	-101.63	-96.404	3.0834	1.0342	2.0538	775.04	-0.028853	115.29	0.12753	liquid
89.350	40.000	761.74	0.0013128	-100.18	-94.930	3.1000	1.0309	2.0587	767.99	-0.028209	112.70	0.12615	liquid
90.067	40.000	758.32	0.0013187	-98.728	-93.453	3.1165	1.0276	2.0639	760.92	-0.027538	110.20	0.12477	liquid
90.783	40.000	754.87	0.0013247	-97.271	-91.972	3.1329	1.0243	2.0693	753.81	-0.026841	107.78	0.12340	liquid
91.500	40.000	751.40	0.0013309	-95.810	-90.487	3.1491	1.0211	2.0750	746.67	-0.026116	105.43	0.12203	liquid
92.217	40.000	747.89	0.0013371	-94.346	-88.998	3.1654	1.0180	2.0809	739.50	-0.025360	103.15	0.12067	liquid
92.933	40.000	744.36	0.0013434	-92.878	-87.504	3.1815	1.0149	2.0872	732.29	-0.024574	100.94	0.11931	liquid
93.650	40.000	740.80	0.0013499	-91.406	-86.006	3.1975	1.0119	2.0938	725.04	-0.023755	98.798	0.11795	liquid
94.367	40.000	737.20	0.0013565	-89.929	-84.503	3.2135	1.0089	2.1008	717.76	-0.022901	96.716	0.11660	liquid
95.083	40.000	733.57	0.0013632	-88.448	-82.995	3.2295	1.0060	2.1081	710.44	-0.022011	94.693	0.11526	liquid
95.800	40.000	729.91	0.0013700	-86.961	-81.481	3.2453	1.0031	2.1158	703.08	-0.021083	92.725	0.11391	liquid
96.517	40.000	726.20	0.0013770	-85.470	-79.962	3.2611	1.0003	2.1239	695.67	-0.020114	90.810	0.11257	liquid
97.233	40.000	722.47	0.0013841	-83.973	-78.437	3.2769	0.99753	2.1324	688.21	-0.019103	88.945	0.11124	liquid
97.950	40.000	718.69	0.0013914	-82.471	-76.906	3.2926	0.99483	2.1413	680.71	-0.018047	87.128	0.10991	liquid
98.667	40.000	714.87	0.0013989	-80.963	-75.368	3.3082	0.99218	2.1508	673.16	-0.016943	85.357	0.10858	liquid
99.383	40.000	711.01	0.0014065	-79.448	-73.823	3.3238	0.98960	2.1607	665.55	-0.015788	83.629	0.10726	liquid
100.10	40.000	707.10	0.0014142	-77.927	-72.270	3.3394	0.98707	2.1712	657.89	-0.014580	81.942	0.10594	liquid
100.82	40.000	703.15	0.0014222	-76.399	-70.710	3.3549	0.98461	2.1823	650.17	-0.013315	80.294	0.10462	liquid
101.53	40.000	699.15	0.0014303	-74.863	-69.142	3.3704	0.98221	2.1940	642.39	-0.011990	78.682	0.10331	liquid
